Number of Cities,Total Length,Time (s)
10,356.58703619549874,0.08204102516174316
10,246.9736335995621,0.08299446105957031
10,321.2892384385152,0.08324265480041504
10,344.15331375407663,0.07428550720214844
10,310.93505468028116,0.08148407936096191
10,349.06655192800486,0.08338141441345215
10,331.8446434359985,0.07363390922546387
10,343.67143606240205,0.07579255104064941
10,270.2890713196063,0.08260297775268555
10,267.6449157380663,0.07472085952758789
10,246.62258286684425,0.0753943920135498
10,286.84658922120275,0.08162617683410645
10,328.670011866462,0.08282947540283203
10,264.979134241405,0.0789022445678711
10,301.85469305135183,0.07854747772216797
10,294.9991447094161,0.0826728343963623
10,242.44522621537513,0.07539558410644531
10,317.78585525472914,0.07403755187988281
10,327.3597931801977,0.08288121223449707
10,305.49634552465227,0.07467865943908691
10,322.17044266335785,0.08205509185791016
10,274.3263630244736,0.07529282569885254
10,218.8859665663673,0.08274102210998535
10,342.33281581650346,0.08186650276184082
10,264.07254932878567,0.08225584030151367
10,250.32773658280811,0.08181381225585938
10,309.7206449885498,0.08354997634887695
10,303.1390050055776,0.07523107528686523
10,315.7000720788455,0.07442164421081543
10,312.14145877296374,0.08272695541381836
10,262.09829268278264,0.073883056640625
10,264.6181984341717,0.08362507820129395
10,277.21149079694857,0.08157968521118164
10,335.2752090365449,0.08826661109924316
10,295.52081215991404,0.0793602466583252
10,330.4602568340828,0.08569741249084473
10,385.0010903258984,0.0742645263671875
10,340.38495738834547,0.08229327201843262
10,335.281357957347,0.08304214477539062
10,359.75320038411985,0.07445979118347168
10,272.5672794511104,0.07486248016357422
10,275.25810274345366,0.07497286796569824
10,370.0784843422201,0.06650137901306152
10,313.3937427653145,0.09108591079711914
10,362.2039590199206,0.07481217384338379
10,334.9716631557894,0.08218860626220703
10,272.6715029500981,0.06655645370483398
10,381.19464897678915,0.0896596908569336
10,274.85388513929223,0.07416129112243652
10,336.75773759041135,0.08645081520080566
10,281.4989090283336,0.06980323791503906
10,303.6279499243376,0.08068966865539551
10,301.6826916747924,0.057404518127441406
10,275.34003782079134,0.06557941436767578
10,366.9967760981265,0.0817575454711914
10,301.3675732745963,0.10662698745727539
10,281.8477556857909,0.09114480018615723
10,332.51586903247136,0.09866166114807129
10,263.8772897398327,0.1101069450378418
10,295.2343875328584,0.08436846733093262
10,272.1124919922591,0.08915257453918457
10,313.44979377222626,0.07794523239135742
10,344.9430957080525,0.09762215614318848
10,281.1841946471182,0.06611752510070801
10,348.7869303918324,0.07386159896850586
10,326.02933514942,0.07478213310241699
10,341.6611541971659,0.08345150947570801
10,351.006311614305,0.09317851066589355
10,282.19518242564266,0.0870828628540039
10,294.97727981036326,0.08211278915405273
10,312.7424032059986,0.07949066162109375
10,341.98528952278116,0.07753324508666992
10,289.94015291856266,0.09042572975158691
10,255.07057283359865,0.09035730361938477
10,257.8582441391787,0.07436490058898926
10,361.4044559606996,0.08114886283874512
10,352.62404870702994,0.08272910118103027
10,330.77810897854084,0.08134984970092773
10,317.99856198056113,0.07500958442687988
10,287.11439672832046,0.08096003532409668
10,294.1350734392037,0.08083033561706543
10,297.94963773054263,0.07774472236633301
10,308.1511450289343,0.0747382640838623
10,291.99909279176694,0.08488178253173828
10,328.77297586870236,0.10439825057983398
10,311.92106586948313,0.07329726219177246
10,250.1513128888477,0.08245420455932617
10,296.79629672375097,0.07468461990356445
10,241.5589546230787,0.07699346542358398
10,293.5515888938625,0.06590771675109863
10,256.60537126588287,0.08202672004699707
10,281.7318064404949,0.08849835395812988
10,276.93247491689544,0.08410358428955078
10,338.15412034045784,0.10013914108276367
10,267.5411391607787,0.09806585311889648
10,263.73276825797524,0.09036707878112793
10,312.67569759753934,0.09905123710632324
10,307.96203021480085,0.08639049530029297
10,261.4102548347174,0.06517958641052246
10,299.4384632631485,0.08305716514587402
11,295.24831782159987,0.08148980140686035
11,329.1987527575624,0.08049702644348145
11,372.7508542979596,0.08677935600280762
11,381.6375515547544,0.10115718841552734
11,339.60032292713504,0.08888769149780273
11,352.08426833612197,0.08101487159729004
11,308.32535961141355,0.1038961410522461
11,307.3408132044413,0.09294533729553223
11,293.37439051598216,0.08689689636230469
11,321.3353820312216,0.07736420631408691
11,325.79786139795283,0.09028172492980957
11,383.01629878292067,0.09303021430969238
11,294.4318442056492,0.08228158950805664
11,379.23353331352683,0.0746300220489502
11,337.3738975964508,0.0901801586151123
11,313.9034197808315,0.11570310592651367
11,333.7650310203986,0.08317112922668457
11,291.1898543915944,0.0752103328704834
11,440.7174125613478,0.09728717803955078
11,332.53953546263426,0.10002279281616211
11,335.2529170474589,0.08139610290527344
11,411.80032384478704,0.0755467414855957
11,258.1638211433496,0.07560253143310547
11,320.0063561918445,0.11533069610595703
11,322.9245212579655,0.1334826946258545
11,304.93877431469963,0.09513640403747559
11,348.30827468347957,0.12755107879638672
11,358.9028977686569,0.11291313171386719
11,330.40333346421653,0.08994841575622559
11,349.52926444230167,0.12092423439025879
