Number of Cities,Total Length,Time (s)
11,387.94460449966954,0.0
11,303.1579274894983,0.0
11,300.31366305763294,0.0
11,344.44517662845374,0.0
11,394.96019116970933,0.0
11,296.9405194220092,0.0
11,323.14656101649615,0.0
11,317.5639479794852,0.0
11,359.5378722799154,0.0
11,336.5254423173385,0.0
11,303.82965429142087,0.0
11,315.6710253587706,0.0
11,285.837289088361,0.0
11,327.20027651730754,0.0
11,363.64094843945713,0.0
11,360.42155553666726,0.0
11,335.30505115039546,0.0
11,332.337766119283,0.0
11,330.8652644051229,0.0
11,340.41486338028153,0.0
11,293.6528227956746,0.0
11,387.9225965953601,0.0
11,346.26785835406474,0.0
11,437.35554717483996,0.0
11,270.37216083122826,0.0
11,309.36420605327777,0.0
11,366.17083452300716,0.0
11,295.56207190975124,0.0
11,342.91065880899794,0.0
11,360.3575001167074,0.0
11,347.86498962321053,0.0
11,336.76456409053964,0.0
11,297.376087680262,0.0
11,343.2399348716108,0.0
11,325.41283567991695,0.0
11,286.8266203691387,0.0
11,291.2758737435899,0.0
11,228.99633533071176,0.0
11,434.5560617949258,0.0
11,389.4949333144857,0.0
11,345.7044260234333,0.0
11,259.8021537917401,0.0
11,304.4753968327825,0.0
11,340.1598400848317,0.0
11,375.1961823802446,0.0
11,332.8154478014409,0.0
11,382.13996010972136,0.0
11,275.16621773302177,0.0
11,258.11618315619046,0.0
11,313.72259840349466,0.0
11,284.89009262403215,0.0
11,263.3736170381481,0.0
11,289.9016149346377,0.0
11,369.1166186815647,0.0
11,294.8265632917825,0.0
11,334.0338577008263,0.0
11,410.5908246737394,0.0
11,352.27991785101176,0.0
12,343.18740256464423,0.0
12,359.91619564389225,0.0
12,358.98353540849206,0.0
12,428.4669129676072,0.0
12,284.0900124652696,0.0
12,252.83350069112154,0.0
12,304.18997866677023,0.0
12,407.7633665808591,0.0
12,394.8042562415038,0.0
12,273.63907985280434,0.0
12,408.6407825708006,0.0
12,368.8537779746142,0.0
12,250.9380068803258,0.0
12,266.65635751453857,0.0
12,339.9348888797474,0.0
12,391.71123464542586,0.0
12,323.6031841303562,0.0
12,359.08347814323474,0.0
12,322.10089439988735,0.0
12,281.22583599533544,0.0
12,387.5463056627099,0.0
12,315.64690815600255,0.0
12,336.37722089455264,0.0
12,281.9682333746194,0.0
12,347.62370014057416,0.0
12,351.22065469346626,0.0
12,349.45221195928764,0.0
12,311.4210713247455,0.0
12,307.2935720212237,0.0
12,335.17736871535715,0.0
12,291.8101964712978,0.0
12,370.63390870066183,0.0
12,373.33240882486706,0.0
12,363.7306553102326,0.0
12,369.84553656346196,0.0
12,411.9963490558323,0.0
12,365.18135924490883,0.0
12,334.9806165773264,0.0
12,383.0984726768954,0.0
12,420.0796033498701,0.0
12,320.54639176051165,0.0
12,364.4028419001779,0.0
12,356.20453879231565,0.0
12,302.26333218394933,0.0
